featureArea,pageOrComponent,surface,currentIconName,currentLibrary,importPath,filePath,absoluteFilePath,line,usageContext,semanticMeaning,status
auth,error.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/error.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/error.tsx,21,inline svg element,varies,review
auth,page copy.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page copy.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page copy.tsx,137,inline svg element,varies,review
auth,page copy.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page copy.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page copy.tsx,186,inline svg element,varies,review
auth,page copy.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page copy.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page copy.tsx,202,inline svg element,varies,review
auth,page.tsx,desktop,Eye,lucide-react,lucide-react,apps/frontend/src/app/(auth)/login/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page.tsx,8,import,varies,review
auth,page.tsx,desktop,EyeOff,lucide-react,lucide-react,apps/frontend/src/app/(auth)/login/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page.tsx,8,import,varies,review
auth,page.tsx,desktop,Lock,lucide-react,lucide-react,apps/frontend/src/app/(auth)/login/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page.tsx,8,import,varies,review
auth,page.tsx,desktop,Mail,lucide-react,lucide-react,apps/frontend/src/app/(auth)/login/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page.tsx,8,import,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page.tsx,122,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/login/page.tsx,215,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/reset-password/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/reset-password/page.tsx,159,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/signup/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/signup/page.tsx,268,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/signup/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/signup/page.tsx,283,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/signup/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/signup/page.tsx,338,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,inline-svg,apps/frontend/src/app/(auth)/signup/page.tsx,/Users/madhuboyina/Desktop/madhu/contract-to-cozy/apps/frontend/src/app/(auth)/signup/page.tsx,353,inline svg element,varies,review
