featureArea,pageOrComponent,surface,currentIconName,currentLibrary,filePath,line,usageContext,semanticMeaning,status
auth,error.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/error.tsx,21,inline svg element,varies,review
auth,page copy.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page copy.tsx,137,inline svg element,varies,review
auth,page copy.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page copy.tsx,186,inline svg element,varies,review
auth,page copy.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page copy.tsx,202,inline svg element,varies,review
auth,page.tsx,desktop,Eye,lucide-react,apps/frontend/src/app/(auth)/login/page.tsx,8,import,varies,review
auth,page.tsx,desktop,EyeOff,lucide-react,apps/frontend/src/app/(auth)/login/page.tsx,8,import,varies,review
auth,page.tsx,desktop,Lock,lucide-react,apps/frontend/src/app/(auth)/login/page.tsx,8,import,varies,review
auth,page.tsx,desktop,Mail,lucide-react,apps/frontend/src/app/(auth)/login/page.tsx,8,import,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page.tsx,122,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/login/page.tsx,215,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/reset-password/page.tsx,159,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/signup/page.tsx,268,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/signup/page.tsx,283,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/signup/page.tsx,338,inline svg element,varies,review
auth,page.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(auth)/signup/page.tsx,353,inline svg element,varies,review
mobile,page.tsx,mobile,Sparkles,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/ai-tools/page.tsx,5,import,varies,review
other,page.tsx,desktop,TrendingUp,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/appreciation/page.tsx,7,import,varies,review
other,page.tsx,desktop,Loader2,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/appreciation/page.tsx,7,import,varies,keep
other,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/appreciation/page.tsx,7,import,varies,keep
other,page.tsx,desktop,ChevronLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/bookings/[id]/page.tsx,9,import,varies,review
other,page.tsx,desktop,CalendarClock,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/bookings/page.tsx,9,import,varies,review
other,page.tsx,desktop,Edit,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/bookings/page.tsx,9,import,varies,keep
other,page.tsx,desktop,Eye,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/bookings/page.tsx,9,import,varies,review
